ProductID,ProductName,Manufacturer,YearOfManufacture,ProductType,MaterialPlastic,MaterialMetal,MaterialGlass,RecyclabilityScore,CO2Emissions,RepairCost,RepairFrequency,RepairabilityScore,EndOfLifeOption,SupplierLocation
1,Product_1,CompanyB,2016,Clothing,48.05825242718447,25.24271844660194,26.699029126213592,78,703.3022524152777,726.8922007574948,6,3,Recyclable,Sweden
2,Product_2,CompanyB,2021,Appliances,63.888888888888886,6.481481481481481,29.629629629629626,2,382.32709579610173,113.83031804452432,0,6,Hazardous,USA
3,Product_3,CompanyC,2003,Electronics,37.569060773480665,25.41436464088398,37.01657458563536,79,623.0411956578841,684.226144447884,2,4,Recyclable,USA
4,Product_4,CompanyA,2019,Electronics,5.88235294117647,51.17647058823529,42.94117647058823,23,829.3207532389509,920.014006981682,5,6,Recyclable,China
5,Product_5,CompanyB,2016,Appliances,36.46408839779006,34.806629834254146,28.7292817679558,11,754.0278412735973,673.8740786053638,3,9,Hazardous,China
6,Product_6,CompanyA,2007,Appliances,26.08695652173913,35.869565217391305,38.04347826086957,96,540.7546496103605,894.6992531173825,4,1,Hazardous,USA
7,Product_7,CompanyC,2014,Clothing,11.11111111111111,25.555555555555554,63.33333333333333,11,552.3833723995629,408.1809993802434,5,10,Hazardous,Sweden
8,Product_8,CompanyA,2013,Clothing,15.315315315315313,27.027027027027028,57.65765765765766,19,775.0360067563599,480.57427561933235,0,7,Recyclable,Germany
9,Product_9,CompanyC,2003,Electronics,36.76470588235294,2.941176470588235,60.29411764705882,80,951.7110338988876,736.2156273419689,4,2,Hazardous,China
10,Product_10,CompanyC,2023,Clothing,1.36986301369863,16.43835616438356,82.1917808219178,21,433.02080205369253,400.66968973636574,0,3,Hazardous,Germany
11,Product_11,CompanyB,2023,Appliances,30.0,39.565217391304344,30.434782608695656,76,71.26122557970146,848.4424364789321,5,3,Hazardous,USA
12,Product_12,CompanyA,2020,Clothing,32.25806451612903,46.774193548387096,20.967741935483872,46,836.5144455403307,323.2863436680613,9,5,Recyclable,Sweden
13,Product_13,CompanyB,2011,Appliances,2.824858757062147,55.932203389830505,41.24293785310734,90,897.8526810889274,605.5639605215496,9,9,Hazardous,Germany
14,Product_14,CompanyA,2010,Clothing,24.137931034482758,44.827586206896555,31.03448275862069,22,627.2645318113251,178.87331770567306,3,7,Hazardous,China
15,Product_15,CompanyA,2019,Electronics,27.522935779816514,54.12844036697248,18.34862385321101,87,146.36102089398742,862.6429446173876,7,7,Hazardous,Germany
16,Product_16,CompanyB,2003,Electronics,31.343283582089555,21.890547263681594,46.766169154228855,11,499.0684791033641,640.0536683417776,2,10,Hazardous,USA
17,Product_17,CompanyC,2001,Clothing,57.14285714285714,38.392857142857146,4.464285714285714,92,604.5430145876007,887.2077420289028,6,2,Recyclable,Germany
18,Product_18,CompanyA,2000,Clothing,16.822429906542055,60.747663551401864,22.429906542056074,65,94.07418513523973,459.2760309325573,1,3,Recyclable,USA
19,Product_19,CompanyC,2000,Appliances,15.032679738562091,35.947712418300654,49.01960784313725,43,235.30675775023226,530.3973835915662,8,2,Recyclable,Germany
20,Product_20,CompanyB,2018,Appliances,1.6528925619834711,57.02479338842975,41.32231404958678,58,596.077590134095,781.9431807675296,2,7,Hazardous,China
21,Product_21,CompanyC,2010,Clothing,30.412371134020617,20.103092783505154,49.48453608247423,62,749.2043311174994,316.23115519274717,2,9,Recyclable,Germany
